dataset,source,algorithm,metric,Normalization,Dimensionality_Reduction,final_width,time_prep_mean,time_prep_std,time_fit_mean,time_fit_std,total_time_mean,total_time_std,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std
ALL,ALL,ALL,ALL,,ALL,,0.5577820308078336,1.2372013161385624,0.0021222713462011465,0.016968388686011564,0.5599043021540347,1.2382155117040992,52986.49757290066,362841.0525985264,0.44473785531517496,0.22871690178058615,0.35989809128810424,0.3664082513789008
ALL,ALL,ALL,ALL,,Não,0.015625,0.5986676520000037,1.015831975498466,0.002843351111079504,0.0017976135130570753,0.6015110031110833,1.0173472782849675,27256.17441495057,244726.6080159087,0.44373908122219863,0.23274997787935467,0.48320850972245694,0.380851605287243
ALL,ALL,ALL,ALL,,Não,0.03125,0.5986676520000037,1.015831975498466,0.002550015466693519,0.001589182337412491,0.6012176674666972,1.01716553904695,28338.723502241995,255547.59218719322,0.45400820725812246,0.2282545224311166,0.4783887361736093,0.37896841736340053
ALL,ALL,ALL,ALL,,Não,0.0625,0.5986676520000037,1.015831975498466,0.002288838933330277,0.0014604646347063251,0.600956490933334,1.0170569978756177,28399.71293265826,255686.0812511593,0.46352874293368856,0.23024727947555032,0.4649005488741451,0.3754071255054464
ALL,ALL,ALL,ALL,,Não,0.125,0.5986676520000037,1.015831975498466,0.002017187422202825,0.0013690920786212162,0.6006848394222066,1.0169660230926418,30985.321285772283,273218.5817100302,0.4834938796121342,0.2276564597858318,0.4295329772822657,0.378628392233703
ALL,ALL,ALL,ALL,,Não,0.25,0.5986676520000037,1.015831975498466,0.0017171744000256705,0.0012262971215471158,0.6003848264000294,1.0168658126986478,31735.133720220307,283592.99074585934,0.5276806493464459,0.20489321045010211,0.35693088616072627,0.34663879451219953
ALL,ALL,ALL,ALL,,Não,ALL,0.6128714178218913,1.22375645969556,0.002194005763418004,0.014488066509745249,0.6150654235853094,1.2248614290616833,30874.622589552513,274642.5398511268,0.45025027932678086,0.2283492858318537,0.4254326419339817,0.37381707526675106
ALL,ALL,ALL,ALL,,Não,,0.6219841846024008,1.340312429972457,0.0021367082634725235,0.018521000141957712,0.6241208928658734,1.341362748650102,31857.26336268157,281932.2582132651,0.43688700478465115,0.2278305607890359,0.4144234312569123,0.3725338829917167
ALL,ALL,ALL,ALL,,Sim,0.015625,0.24720727999920197,0.22634980761800375,0.003007771555567113,0.003118221558556677,0.25021505155476914,0.22931025325043025,137629.64434191532,538537.0168871846,0.43404187682720113,0.24537456857817422,0.0973705241253108,0.15312417202690567
ALL,ALL,ALL,ALL,,Sim,0.03125,0.24720727999920197,0.22634980761800375,0.0027431124444976087,0.002956533781162602,0.24995039244369963,0.22913697368656227,142221.08965571923,560195.013977176,0.44601475385304173,0.24089374617089337,0.0927942387879522,0.14630375292089176
ALL,ALL,ALL,ALL,,Sim,0.0625,0.24720727999920197,0.22634980761800375,0.002456142000042292,0.002714600459834972,0.24966342199924432,0.22891195708361112,144047.4631356977,569151.3244911071,0.4615774314359572,0.23706079737304805,0.07934697626737719,0.13990457357643687
ALL,ALL,ALL,ALL,,Sim,0.125,0.24720727999920197,0.22634980761800375,0.002186639111079937,0.0025202584202596626,0.24939391911028197,0.22870284921514777,175942.25605322767,696296.0588385169,0.5156787119272542,0.21012875639508719,0.06747818554618067,0.12103330686419132
ALL,ALL,ALL,ALL,,Sim,0.25,0.24720727999920197,0.22634980761800375,0.0019158735555376272,0.002418098115652109,0.24912315355473966,0.22856826993193538,178373.5629536612,713046.9608763813,0.5812632217332008,0.17970450836132712,0.039059903980104616,0.10789729006894415
ALL,ALL,ALL,ALL,,Sim,ALL,0.23768063499956038,0.228095647778594,0.0022119258245730552,0.0028045345894047585,0.2398925608241335,0.23029628678321146,158508.9203097892,619134.0988351216,0.48161879429831334,0.23009724544079516,0.07978403535246083,0.13798438637202268
